#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,accel_speed,baro_speed,temperature,drogue_voltage,main_voltage,battery_voltage,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
